;ADSK_Код изделия##OTHER##;ADSK_Номинальная мощность##ELECTRICAL_POWER##KILOVOLT_AMPERES;ADSK_Энергоэффективность##ELECTRICAL_EFFICACY##LUMENS_PER_WATT;ADSK_Масса##OTHER##;ADSK_Масса_Текст##OTHER##;ADSK_Размер_Длина##LENGTH##MILLIMETERS;ADSK_Размер_Ширина##LENGTH##MILLIMETERS;ADSK_Размер_Высота##LENGTH##MILLIMETERS;Файл фотометрической сетки##OTHER##;Световой поток##ELECTRICAL_LUMINOUS_FLUX##LUMENS;Исходная цветовая температура##COLOR_TEMPERATURE##KELVIN;Тип продукции##OTHER##;Тип ПРА##OTHER##;Тип ИС##OTHER##;IP Class##OTHER##;Класс Защиты##OTHER##;Климатическая зона##OTHER##;Область использования##OTHER##;Блок аварийного питания##OTHER##;Описание##OTHER##;URL##OTHER##;ADSK_Марка##OTHER##;ADSK_Наименование##OTHER##;Класс пожароопасности##OTHER##;ADSK_Коэффициент мощности##OTHER##;Корпус##OTHER##
OPL/R ECO LED 1200 (60) 4000K;1028001720;0.06;106;5;5;1195;295;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001720_opl_r_eco_led_1200_(60)_4000k.ies;6600;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200 (60) 4000K;Встраиваемый светильникOPL/R ECO LED 1200 (60) 4000K;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200 (60) 4000K DALI;1028001750;0.06;106;5;5;1195;295;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001750_opl_r_eco_led_1200_(60)_4000k_dali.ies;6600;4000;светильник;Драйвер DALI;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200 (60) 4000K DALI;Встраиваемый светильникOPL/R ECO LED 1200 (60) 4000K DALI;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200 3000K;1028001160;0.032;106;5;5;1195;295;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001160_opl_r_eco_led_1200_3000k.ies;3400;3000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200 3000K;Встраиваемый светильникOPL/R ECO LED 1200 3000K;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200 4000K;1028000240;0.032;106;5;5;1195;295;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000240_opl_r_eco_led_1200_4000k.ies;3400;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200 4000K;Встраиваемый светильникOPL/R ECO LED 1200 4000K;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200 4000K Clip-in;1028002000;0.032;106;4,45;4,45;1200;595;85;C:\ProgramData\Autodesk\IES\LT_Company\1028002000_opl_r_eco_led_1200_4000k_clip-in.ies;3400;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200 4000K Clip-in;Встраиваемый светильникOPL/R ECO LED 1200 4000K Clip-in;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200 4000K CRI90;1028002170;0.032;106;5;5;1195;295;85;C:\ProgramData\Autodesk\IES\LT_Company\1028002170_opl_r_eco_led_1200_4000k_cri90.ies;3400;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200 4000K CRI90;Встраиваемый светильникOPL/R ECO LED 1200 4000K CRI90;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200 4000K DALI;1028000580;0.032;106;5;5;1195;295;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000580_opl_r_eco_led_1200_hfd_4000k.ies;3400;4000;светильник;Драйвер DALI;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200 4000K DALI;Встраиваемый светильникOPL/R ECO LED 1200 4000K DALI;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200 4000K Edge 24-03;1028001680;0.032;106;5,4;5,4;1195;295;94;C:\ProgramData\Autodesk\IES\LT_Company\1028001680_opl_r_eco_led_1200_4000k_edge_24-03.ies;3400;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200 4000K Edge 24-03;Встраиваемый светильникOPL/R ECO LED 1200 4000K Edge 24-03;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200 4000K EMT;1028000550;0.032;106;5,45;5,45;1195;295;85;C:\ProgramData\Autodesk\IES\LT_Company\1028000550_opl_r_eco_led_1200_em_4000k.ies;3400;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;1;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200 4000K EMT;Встраиваемый светильникOPL/R ECO LED 1200 4000K EMT;Нет значения;0.95;Сталь Белый
OPL/R ECO LED 1200x150 4000K;1028001590;0.032;106;5;5;1195;145;85;C:\ProgramData\Autodesk\IES\LT_Company\1028001590_opl_r_eco_led_1200x150_4000k.ies;3400;4000;светильник;Драйвер;LED;IP20;I;УХЛ4;HoReCa / гостиницы / рестораны / кафе / ЖКХ / Культурно-развлекательные учреждения / Медицинские учреждения / Образовательные учреждения / Офисно-административные объекты / Транспортные узлы (вокзалы, аэропорты) / ТРЦ;0;Встраиваемый светодиодный светильник для учебных и офисных помещений с равномерной, бестеневой засветкой рассеивателя. OPL/R ECO LED - лучший выбор для помещений, где необходим мягкий рассеянный свет и высокая энергоэффективность.;https://www.ltcompany.com/ru/products/types/commercial-luminaires/office-luminaries/opl-r-eco-led/;OPL/R ECO LED 1200x150 4000K;Встраиваемый светильникOPL/R ECO LED 1200x150 4000K;Нет значения;0.95;Сталь Белый
